Codigo de mesa,Partido,Num Votos
05-018-1-001-U,PACMA,0
05-018-1-001-U,PCAS-TC-RC,0
05-018-1-001-U,PYC (ANULADA),0
05-019-1-001-U,PP,198
05-019-1-001-U,XAV,171
05-019-1-001-U,VOX,122
05-019-1-001-U,PSOE,119
05-019-1-001-U,PODEMOS-IU-AV,23
05-019-1-001-U,Cs,17
05-019-1-001-U,PACMA,3
05-019-1-001-U,PCAS-TC-RC,3
05-019-1-001-U,FE de las JONS,0
05-019-1-001-U,PYC (ANULADA),0
05-019-2-001-A,PP,153
05-019-2-001-A,XAV,134
05-019-2-001-A,VOX,82
05-019-2-001-A,PSOE,68
05-019-2-001-A,PODEMOS-IU-AV,15
05-019-2-001-A,Cs,9
05-019-2-001-A,PACMA,2
05-019-2-001-A,PCAS-TC-RC,1
05-019-2-001-A,FE de las JONS,0
05-019-2-001-A,PYC (ANULADA),0
05-019-2-001-B,PP,159
05-019-2-001-B,XAV,116
05-019-2-001-B,VOX,73
05-019-2-001-B,PSOE,57
05-019-2-001-B,Cs,13
05-019-2-001-B,PODEMOS-IU-AV,7
05-019-2-001-B,PACMA,3
05-019-2-001-B,PCAS-TC-RC,3
05-019-2-001-B,FE de las JONS,0
05-019-2-001-B,PYC (ANULADA),0
05-019-3-001-A,XAV,155
05-019-3-001-A,PSOE,128
05-019-3-001-A,PP,92
05-019-3-001-A,VOX,73
05-019-3-001-A,PODEMOS-IU-AV,25
05-019-3-001-A,Cs,4
05-019-3-001-A,PACMA,2
05-019-3-001-A,PCAS-TC-RC,2
05-019-3-001-A,FE de las JONS,0
05-019-3-001-A,PYC (ANULADA),0
05-019-3-001-B,XAV,131
05-019-3-001-B,PSOE,118
05-019-3-001-B,PP,98
05-019-3-001-B,VOX,63
05-019-3-001-B,PODEMOS-IU-AV,26
05-019-3-001-B,PACMA,4
05-019-3-001-B,Cs,2
05-019-3-001-B,PCAS-TC-RC,2
05-019-3-001-B,PYC (ANULADA),0
05-019-3-001-B,FE de las JONS,0
05-019-4-001-A,XAV,75
05-019-4-001-A,PP,39
05-019-4-001-A,PSOE,25
05-019-4-001-A,VOX,14
05-019-4-001-A,PODEMOS-IU-AV,4
05-019-4-001-A,Cs,2
05-019-4-001-A,PACMA,0
05-019-4-001-A,FE de las JONS,0
05-019-4-001-A,PYC (ANULADA),0
05-019-4-001-A,PCAS-TC-RC,0
05-019-4-001-B,XAV,260
05-019-4-001-B,PP,162
05-019-4-001-B,PSOE,134
05-019-4-001-B,VOX,103
05-019-4-001-B,PODEMOS-IU-AV,23
05-019-4-001-B,Cs,20
05-019-4-001-B,PCAS-TC-RC,2
05-019-4-001-B,PACMA,1
05-019-4-001-B,FE de las JONS,1
05-019-4-001-B,PYC (ANULADA),0
05-019-5-001-A,XAV,110
05-019-5-001-A,PP,108
05-019-5-001-A,PSOE,91
05-019-5-001-A,VOX,64
05-019-5-001-A,Cs,18
05-019-5-001-A,PODEMOS-IU-AV,10
05-019-5-001-A,PACMA,3
05-019-5-001-A,PYC (ANULADA),0
05-019-5-001-A,PCAS-TC-RC,0
05-019-5-001-A,FE de las JONS,0
05-019-5-001-B,XAV,100
05-019-5-001-B,PP,92
05-019-5-001-B,PSOE,57
05-019-5-001-B,VOX,52
05-019-5-001-B,PODEMOS-IU-AV,16
05-019-5-001-B,Cs,11
05-019-5-001-B,PACMA,4
05-019-5-001-B,FE de las JONS,1
05-019-5-001-B,PCAS-TC-RC,1
05-019-5-001-B,PYC (ANULADA),0
05-019-6-001-U,PP,196
05-019-6-001-U,XAV,109
05-019-6-001-U,VOX,107
05-019-6-001-U,PSOE,73
05-019-6-001-U,Cs,12
05-019-6-001-U,PODEMOS-IU-AV,12
05-019-6-001-U,PCAS-TC-RC,1
05-019-6-001-U,PACMA,1
05-019-6-001-U,FE de las JONS,0
05-019-6-001-U,PYC (ANULADA),0
05-019-1-002-A,PP,87
05-019-1-002-A,XAV,86
05-019-1-002-A,PSOE,69
05-019-1-002-A,VOX,62
05-019-1-002-A,PODEMOS-IU-AV,15
05-019-1-002-A,Cs,8
05-019-1-002-A,PACMA,3
05-019-1-002-A,PYC (ANULADA),0
05-019-1-002-A,PCAS-TC-RC,0
05-019-1-002-A,FE de las JONS,0
05-019-1-002-B,PSOE,106
05-019-1-002-B,XAV,105
05-019-1-002-B,PP,93
05-019-1-002-B,VOX,55
05-019-1-002-B,PODEMOS-IU-AV,16
05-019-1-002-B,Cs,5
05-019-1-002-B,PCAS-TC-RC,3
05-019-1-002-B,PACMA,3
05-019-1-002-B,FE de las JONS,1
05-019-1-002-B,PYC (ANULADA),0
05-019-2-002-U,PP,243
05-019-2-002-U,XAV,154
05-019-2-002-U,VOX,117
05-019-2-002-U,PSOE,87
05-019-2-002-U,PODEMOS-IU-AV,12
05-019-2-002-U,Cs,7
05-019-2-002-U,FE de las JONS,1
05-019-2-002-U,PCAS-TC-RC,1
05-019-2-002-U,PACMA,0
05-019-2-002-U,PYC (ANULADA),0
05-019-3-002-A,XAV,161
05-019-3-002-A,PSOE,124
05-019-3-002-A,PP,112
05-019-3-002-A,VOX,106
05-019-3-002-A,Cs,18
05-019-3-002-A,PODEMOS-IU-AV,17
05-019-3-002-A,PACMA,1
05-019-3-002-A,FE de las JONS,0
05-019-3-002-A,PCAS-TC-RC,0
05-019-3-002-A,PYC (ANULADA),0
05-019-3-002-B,XAV,146
05-019-3-002-B,PSOE,114
05-019-3-002-B,VOX,104
05-019-3-002-B,PP,95
05-019-3-002-B,Cs,20
05-019-3-002-B,PODEMOS-IU-AV,15
05-019-3-002-B,PCAS-TC-RC,2
05-019-3-002-B,PACMA,1
05-019-3-002-B,FE de las JONS,0
05-019-3-002-B,PYC (ANULADA),0
05-019-4-002-A,XAV,127
05-019-4-002-A,PP,118
05-019-4-002-A,PSOE,89
05-019-4-002-A,VOX,52
05-019-4-002-A,PODEMOS-IU-AV,19
05-019-4-002-A,Cs,10
05-019-4-002-A,PACMA,3
05-019-4-002-A,PCAS-TC-RC,0
05-019-4-002-A,FE de las JONS,0
05-019-4-002-A,PYC (ANULADA),0
05-019-4-002-B,XAV,91
05-019-4-002-B,PSOE,89
05-019-4-002-B,PP,78
05-019-4-002-B,VOX,66
05-019-4-002-B,PODEMOS-IU-AV,13
05-019-4-002-B,Cs,11
05-019-4-002-B,PACMA,3
05-019-4-002-B,PCAS-TC-RC,1
05-019-4-002-B,FE de las JONS,0
05-019-4-002-B,PYC (ANULADA),0
05-019-5-002-A,PP,151
05-019-5-002-A,XAV,120
05-019-5-002-A,VOX,79
05-019-5-002-A,PSOE,68
05-019-5-002-A,PODEMOS-IU-AV,14
05-019-5-002-A,Cs,11
05-019-5-002-A,PACMA,4
05-019-5-002-A,PYC (ANULADA),0
05-019-5-002-A,FE de las JONS,0
05-019-5-002-A,PCAS-TC-RC,0
05-019-5-002-B,XAV,117
05-019-5-002-B,PP,115
05-019-5-002-B,PSOE,79
05-019-5-002-B,VOX,66
05-019-5-002-B,PODEMOS-IU-AV,20
05-019-5-002-B,Cs,13
05-019-5-002-B,PCAS-TC-RC,4
05-019-5-002-B,PACMA,3
05-019-5-002-B,PYC (ANULADA),0
05-019-5-002-B,FE de las JONS,0
05-019-6-002-A,XAV,153
05-019-6-002-A,PP,153
05-019-6-002-A,PSOE,118
05-019-6-002-A,VOX,85
05-019-6-002-A,Cs,24
05-019-6-002-A,PODEMOS-IU-AV,12
05-019-6-002-A,PCAS-TC-RC,1
05-019-6-002-A,PACMA,0
05-019-6-002-A,PYC (ANULADA),0
05-019-6-002-A,FE de las JONS,0
05-019-6-002-B,PP,169
05-019-6-002-B,XAV,146
05-019-6-002-B,PSOE,131
05-019-6-002-B,VOX,82
05-019-6-002-B,Cs,20
05-019-6-002-B,PODEMOS-IU-AV,14
05-019-6-002-B,PACMA,4
05-019-6-002-B,PCAS-TC-RC,0
05-019-6-002-B,FE de las JONS,0
05-019-6-002-B,PYC (ANULADA),0
05-019-4-003-U,XAV,175
05-019-4-003-U,PSOE,147
05-019-4-003-U,PP,139
05-019-4-003-U,VOX,79
05-019-4-003-U,PODEMOS-IU-AV,21
05-019-4-003-U,Cs,15
05-019-4-003-U,PCAS-TC-RC,6
05-019-4-003-U,PACMA,2
05-019-4-003-U,PYC (ANULADA),0
05-019-4-003-U,FE de las JONS,0
05-019-5-003-U,PP,181
05-019-5-003-U,XAV,133
05-019-5-003-U,PSOE,123
05-019-5-003-U,VOX,95
05-019-5-003-U,Cs,20
05-019-5-003-U,PODEMOS-IU-AV,16
05-019-5-003-U,PCAS-TC-RC,1
05-019-5-003-U,PACMA,1
05-019-5-003-U,PYC (ANULADA),0
05-019-5-003-U,FE de las JONS,0
05-019-6-003-U,XAV,282
05-019-6-003-U,VOX,185
05-019-6-003-U,PP,156
05-019-6-003-U,PSOE,132
05-019-6-003-U,PODEMOS-IU-AV,43
05-019-6-003-U,Cs,24
05-019-6-003-U,PACMA,9
05-019-6-003-U,PCAS-TC-RC,2
05-019-6-003-U,PYC (ANULADA),0
05-019-6-003-U,FE de las JONS,0
05-019-4-004-U,XAV,148
05-019-4-004-U,PP,141
05-019-4-004-U,PSOE,106
05-019-4-004-U,VOX,76
05-019-4-004-U,Cs,12
05-019-4-004-U,PODEMOS-IU-AV,11
05-019-4-004-U,PACMA,3
05-019-4-004-U,PCAS-TC-RC,2
05-019-4-004-U,PYC (ANULADA),0
05-019-4-004-U,FE de las JONS,0
05-019-5-004-A,XAV,138
05-019-5-004-A,PP,123
05-019-5-004-A,PSOE,104
05-019-5-004-A,VOX,94
05-019-5-004-A,Cs,17
05-019-5-004-A,PODEMOS-IU-AV,12
05-019-5-004-A,PACMA,4
05-019-5-004-A,PCAS-TC-RC,1
05-019-5-004-A,PYC (ANULADA),0
05-019-5-004-A,FE de las JONS,0
05-019-5-004-B,XAV,135
05-019-5-004-B,PSOE,119
05-019-5-004-B,PP,95
05-019-5-004-B,VOX,68
05-019-5-004-B,PODEMOS-IU-AV,17
05-019-5-004-B,Cs,10
05-019-5-004-B,PACMA,3
05-019-5-004-B,FE de las JONS,0
05-019-5-004-B,PCAS-TC-RC,0
05-019-5-004-B,PYC (ANULADA),0
05-019-6-004-U,XAV,86
05-019-6-004-U,PP,70
05-019-6-004-U,PSOE,70
05-019-6-004-U,VOX,42
05-019-6-004-U,PODEMOS-IU-AV,11
05-019-6-004-U,Cs,6
05-019-6-004-U,PACMA,3
05-019-6-004-U,PCAS-TC-RC,1
05-019-6-004-U,FE de las JONS,0
05-019-6-004-U,PYC (ANULADA),0
05-019-4-005-U,XAV,173
05-019-4-005-U,PP,163
05-019-4-005-U,PSOE,127
05-019-4-005-U,VOX,56
05-019-4-005-U,PODEMOS-IU-AV,13
05-019-4-005-U,Cs,10
05-019-4-005-U,PACMA,3
05-019-4-005-U,PYC (ANULADA),0
05-019-4-005-U,PCAS-TC-RC,0
05-019-4-005-U,FE de las JONS,0
05-019-5-005-A,PSOE,111
05-019-5-005-A,XAV,92
05-019-5-005-A,PP,86
05-019-5-005-A,VOX,76
05-019-5-005-A,PODEMOS-IU-AV,17
05-019-5-005-A,Cs,9
05-019-5-005-A,PACMA,4
05-019-5-005-A,PCAS-TC-RC,2
05-019-5-005-A,PYC (ANULADA),0
05-019-5-005-A,FE de las JONS,0
05-019-5-005-B,XAV,96
05-019-5-005-B,PP,90
05-019-5-005-B,PSOE,87
05-019-5-005-B,VOX,65
05-019-5-005-B,Cs,12
05-019-5-005-B,PODEMOS-IU-AV,11
05-019-5-005-B,PACMA,2
05-019-5-005-B,PCAS-TC-RC,1
05-019-5-005-B,PYC (ANULADA),0
05-019-5-005-B,FE de las JONS,0
05-019-6-005-U,PP,179
05-019-6-005-U,XAV,174
05-019-6-005-U,PSOE,128
05-019-6-005-U,VOX,70
05-019-6-005-U,PODEMOS-IU-AV,16
05-019-6-005-U,Cs,4
05-019-6-005-U,PCAS-TC-RC,2
05-019-6-005-U,PACMA,2
05-019-6-005-U,PYC (ANULADA),0
05-019-6-005-U,FE de las JONS,0
05-019-4-006-A,XAV,112
05-019-4-006-A,PP,97
05-019-4-006-A,PSOE,93
05-019-4-006-A,VOX,44
05-019-4-006-A,PODEMOS-IU-AV,20
05-019-4-006-A,Cs,8
05-019-4-006-A,FE de las JONS,1
05-019-4-006-A,PCAS-TC-RC,0
05-019-4-006-A,PYC (ANULADA),0
05-019-4-006-A,PACMA,0
05-019-4-006-B,XAV,104
05-019-4-006-B,PP,87
05-019-4-006-B,PSOE,83
05-019-4-006-B,VOX,55
05-019-4-006-B,Cs,13
05-019-4-006-B,PODEMOS-IU-AV,11
05-019-4-006-B,PCAS-TC-RC,3
05-019-4-006-B,PYC (ANULADA),0
05-019-4-006-B,PACMA,0
05-019-4-006-B,FE de las JONS,0
05-019-5-006-A,XAV,224
05-019-5-006-A,PSOE,145
05-019-5-006-A,PP,118
05-019-5-006-A,VOX,116
05-019-5-006-A,PODEMOS-IU-AV,18
05-019-5-006-A,Cs,12
05-019-5-006-A,PCAS-TC-RC,3
05-019-5-006-A,FE de las JONS,0
05-019-5-006-A,PACMA,0
05-019-5-006-A,PYC (ANULADA),0
05-019-5-006-B,XAV,209
05-019-5-006-B,PSOE,122
05-019-5-006-B,PP,117
05-019-5-006-B,VOX,116
05-019-5-006-B,PODEMOS-IU-AV,21
05-019-5-006-B,Cs,14
05-019-5-006-B,PACMA,2
05-019-5-006-B,PCAS-TC-RC,1
05-019-5-006-B,PYC (ANULADA),0
05-019-5-006-B,FE de las JONS,0
05-019-6-006-A,PP,119
05-019-6-006-A,XAV,116
05-019-6-006-A,PSOE,110
05-019-6-006-A,VOX,65
05-019-6-006-A,PODEMOS-IU-AV,21
05-019-6-006-A,Cs,7
05-019-6-006-A,PACMA,4
05-019-6-006-A,PCAS-TC-RC,1
05-019-6-006-A,FE de las JONS,1
05-019-6-006-A,PYC (ANULADA),0
05-019-6-006-B,XAV,107
05-019-6-006-B,PP,98
05-019-6-006-B,PSOE,95
05-019-6-006-B,VOX,49
05-019-6-006-B,PODEMOS-IU-AV,22
05-019-6-006-B,Cs,5
05-019-6-006-B,PACMA,4
05-019-6-006-B,PCAS-TC-RC,0
05-019-6-006-B,PYC (ANULADA),0
05-019-6-006-B,FE de las JONS,0
05-019-4-008-A,XAV,209
05-019-4-008-A,PSOE,147
05-019-4-008-A,PP,112
05-019-4-008-A,VOX,72
05-019-4-008-A,PODEMOS-IU-AV,24
05-019-4-008-A,Cs,8
05-019-4-008-A,PCAS-TC-RC,5
05-019-4-008-A,PACMA,2
05-019-4-008-A,FE de las JONS,1
05-019-4-008-A,PYC (ANULADA),0
05-019-4-008-B,XAV,175
05-019-4-008-B,PSOE,110
05-019-4-008-B,PP,100
05-019-4-008-B,VOX,94
05-019-4-008-B,PODEMOS-IU-AV,28
05-019-4-008-B,Cs,18
05-019-4-008-B,PACMA,2
05-019-4-008-B,PCAS-TC-RC,1
05-019-4-008-B,FE de las JONS,0
05-019-4-008-B,PYC (ANULADA),0
05-019-6-008-U,XAV,185
05-019-6-008-U,PSOE,176
05-019-6-008-U,PP,165
05-019-6-008-U,VOX,77
05-019-6-008-U,Cs,15
05-019-6-008-U,PODEMOS-IU-AV,14
05-019-6-008-U,PACMA,6
05-019-6-008-U,PCAS-TC-RC,2
05-019-6-008-U,FE de las JONS,0
05-019-6-008-U,PYC (ANULADA),0
05-019-4-009-A,PSOE,131
05-019-4-009-A,XAV,110
05-019-4-009-A,PP,93
05-019-4-009-A,VOX,58
05-019-4-009-A,PODEMOS-IU-AV,15
05-019-4-009-A,Cs,13
05-019-4-009-A,PACMA,1
05-019-4-009-A,PCAS-TC-RC,1
05-019-4-009-A,FE de las JONS,0
05-019-4-009-A,PYC (ANULADA),0
05-019-4-009-B,PSOE,119
05-019-4-009-B,XAV,104
05-019-4-009-B,PP,102
05-019-4-009-B,VOX,55
05-019-4-009-B,PODEMOS-IU-AV,12
05-019-4-009-B,Cs,8
05-019-4-009-B,PACMA,3
05-019-4-009-B,PCAS-TC-RC,2
05-019-4-009-B,FE de las JONS,1
05-019-4-009-B,PYC (ANULADA),0
05-019-6-009-U,PP,161
05-019-6-009-U,VOX,101
05-019-6-009-U,XAV,90
05-019-6-009-U,PSOE,61
05-019-6-009-U,PODEMOS-IU-AV,9
05-019-6-009-U,Cs,8
05-019-6-009-U,PACMA,1
05-019-6-009-U,PYC (ANULADA),0
05-019-6-009-U,FE de las JONS,0
05-019-6-009-U,PCAS-TC-RC,0
05-019-4-010-U,XAV,169
05-019-4-010-U,PSOE,142
05-019-4-010-U,PP,96
05-019-4-010-U,VOX,76
05-019-4-010-U,PODEMOS-IU-AV,33
05-019-4-010-U,Cs,17
05-019-4-010-U,FE de las JONS,2
05-019-4-010-U,PACMA,2
05-019-4-010-U,PCAS-TC-RC,0
05-019-4-010-U,PYC (ANULADA),0
05-019-6-010-U,PP,173
05-019-6-010-U,XAV,139
05-019-6-010-U,PSOE,117
05-019-6-010-U,VOX,73
05-019-6-010-U,Cs,17
